,q
1505,5906.4
1506,6002.84
1507,5857.12
1508,5823.48
1509,5602.4
1510,5934.4
1511,5848.76
1512,5931.4
1513,5931.12
1514,6201.4
1515,5791.76
1516,5695.4
1517,6207.48
1518,5936.4
1519,6280.84
1520,6067.76
1521,5770.4
1522,5705.4
1523,5645.4
1524,5945.76
1525,5933.4
1526,5951.76
1527,5795.4
1528,5912.4
1529,5709.4
1530,6107.76
1531,6085.76
1532,5854.12
1533,5698.4
1534,5754.76
1535,5667.76
1536,5754.76
1537,5686.4
1538,5800.4
1539,5903.4
1540,5928.12
1541,5741.4
1542,5920.48
1543,5947.4
1544,5919.76
1545,5944.4
1546,6103.4
1547,6272.48
1548,6053.12
1549,6239.48
1550,5806.4
1551,5831.4
1552,6172.12
1553,6213.76
1554,5798.12
1555,5622.4
1556,5812.4
1557,6114.84
1558,5883.4
1559,5662.4
1560,5944.4
1561,5699.4
1562,5807.4
1563,5779.4
1564,5927.12
1565,6107.4
1566,5763.76
1567,5795.4
1568,5598.4
1569,5570.4
1570,5754.4
1571,6009.76
1572,5958.4
1573,5834.48
1574,5693.76
1575,6019.76
1576,5561.4
1577,5922.48
1578,6061.4
1579,5915.48
1580,5661.4
1581,6226.76
1582,5969.76
1583,5782.12
1584,5778.4
1585,5858.76
1586,6146.4
1587,5894.4
1588,6138.4
1589,5929.4
1590,5814.12
1591,6002.4
1592,5977.4
1593,6102.4
1594,5932.12
1595,5577.4
1596,6105.76
1597,5778.4
1598,5813.4
1599,6019.4
1600,6222.4
1601,6338.48
1602,5603.4
1603,6016.76
1604,5658.76
1605,5758.76
1606,5922.12
1607,5526.4
1608,6065.4
1609,5881.4
1610,5681.76
1611,5805.4
1612,6074.76
1613,5828.4
1614,5800.4
1615,5702.4
1616,5787.4
1617,5902.4
1618,6205.4
1619,5589.4
1620,5677.4
1621,5604.4
1622,5834.12
1623,5897.76
1624,5566.4
1625,5772.4
1626,6074.48
1627,5826.4
1628,6039.76
1629,6072.76
1630,6021.76
1631,6191.48
1632,5782.4
1633,6085.4
1634,5979.76
1635,5745.12
1636,5824.48
1637,5839.48
1638,5907.76
1639,5871.4
1640,5806.76
1641,5620.4
1642,6078.76
1643,6281.2
1644,5798.12
1645,6328.4
1646,5884.76
1647,5751.76
1648,5622.4
1649,5854.4
1650,5681.4
1651,6271.12
1652,5961.12
1653,5577.4
1654,6076.84
1655,6114.48
1656,5764.4
1657,6246.56
1658,5999.76
1659,6078.76
1660,5701.4
1661,5929.76
1662,5694.4
1663,5709.4
1664,5889.76
1665,5987.76
1666,5832.4
1667,6113.4
1668,5882.4
1669,6017.12
1670,5959.48
1671,6077.76
1672,5832.76
1673,6111.48
1674,5632.4
1675,5930.4
1676,6029.48
1677,5679.4
1678,6199.4
1679,5677.4
1680,5837.48
1681,5902.76
1682,5722.4
1683,6135.76
1684,5662.4
1685,6278.4
1686,5849.12
1687,5980.4
1688,5875.4
1689,5751.4
1690,5808.76
1691,5717.4
1692,5865.4
1693,5823.48
1694,6148.12
1695,6111.2
1696,5599.76
1697,5962.4
1698,5940.4
1699,5532.4
1700,5957.84
1701,6003.76
1702,5872.12
1703,6117.76
1704,6017.76
1705,6347.48
1706,5787.4
1707,6131.76
1708,5899.12
1709,6152.48
1710,6213.2
1711,5800.4
1712,6030.4
1713,5753.76
1714,5698.76
1715,5758.76
1716,5551.4
1717,5903.4
1718,5604.4
1719,5931.76
1720,5795.4
1721,5812.4
1722,5894.4
1723,5912.76
1724,5784.4
1725,5985.4
1726,5949.84
1727,6065.12
1728,5949.76
1729,5760.12
1730,6006.76
1731,5645.76
1732,6011.4
1733,6058.4
1734,5762.4
1735,6009.4
1736,5968.4
1737,5532.4
1738,5859.4
1739,5707.4
1740,5814.4
1741,6006.76
1742,5669.4
1743,6033.4
1744,6057.76
1745,5699.4
1746,6174.12
1747,5837.48
1748,5849.12
1749,5633.4
1750,5643.4
1751,5698.76
